,FMID,MarketName,Website,Facebook,Twitter,Youtube,street,city,County,State,zip,x,y,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime,Season1 Start Date,Season1 End Date,Season2 Start Date,Season2 End Date,Season3 Start Date,Season3 End Date,Season4 Start Date,Season4 End Date,Season1Time Mon,Season1Time Tue,Season1Time Wed,Season1Time Thu,Season1Time Fri,Season1Time Sat,Season1Time Sun,Season2Time Mon,Season2Time Tue,Season2Time Wed,Season2Time Thu,Season2Time Fri,Season2Time Sat,Season2Time Sun,Season3Time Mon,Season3Time Tue,Season3Time Wed,Season3Time Thu,Season3Time Fri,Season3Time Sat,Season3Time Sun,Season4Time Mon,Season4Time Tue,Season4Time Wed,Season4Time Thu,Season4Time Fri,Season4Time Sat,Season4Time Sun
0,1018261, Caledonia Farmers Market Association - Danville,https://sites.google.com/site/caledoniafarmersmarket/,https://www.facebook.com/Danville.VT.Farmers.Market/,,,,Danville,Caledonia,Vermont,05828,-72.140335,44.411037,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,6/20/2017 10:43:57 PM,06/14/2017,08/30/2017,09/06/2017,10/18/2017,,,,,,,9:00 AM-1:00 PM,,,,,,,2:00 PM-6:00 PM,,,,,,,,,,,,,,,,,,
1,1018318, Stearns Homestead Farmers' Market,http://www.StearnsHomestead.com,StearnsHomesteadFarmersMarket,,,6975 Ridge Road,Parma ,Cuyahoga,Ohio,,-81.73394,41.374802,Y,N,N,Y,N,,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,6/21/2017 5:15:01 PM,06/24/2017,09/30/2017,,,,,,,,,,,,9:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,
2,1009364,106 S. Main Street Farmers Market,http://thetownofsixmile.wordpress.com/,,,,106 S. Main Street,Six Mile,,South Carolina,29682,-82.818703,34.804199,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1010691,10th Steet Community Farmers Market,,,,,10th Street and Poplar,Lamar ,Barton,Missouri,64759,-94.27462,37.495628,Y,N,N,N,N,,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,10/28/2014 9:49:46 AM,04/02/2014,11/30/2014,,,,,,,,,3:00 PM-6:00 PM,,,8:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,
4,1002454,112st Madison Avenue,,,,,112th Madison Avenue,New York,New York,New York,10029,-73.949303,40.7939,N,N,Y,Y,N,,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,3/1/2012 10:38:22 AM,07/01/2012 10:38:22 AM,11/01/2012 10:38:22 AM,,,,,,,,8:00 am - 5:00 pm,,,,8:00 am - 8:00 pm,,,,,,,,,,,,,,,,,,,,,,
5,1011100,12 South Farmers Market,http://www.12southfarmersmarket.com,12_South_Farmers_Market,@12southfrmsmkt,,3000 Granny White Pike,Nashville,Davidson,Tennessee,37204,-86.79071,36.11837,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,5/1/2015 10:40:56 AM,05/05/2015,10/27/2015,,,,,,,,3:30 PM-6:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1009845,125th Street Fresh Connect Farmers' Market,http://www.125thStreetFarmersMarket.com,https://www.facebook.com/125thStreetFarmersMarket,https://twitter.com/FarmMarket125th,,"163 West 125th Street and Adam Clayton Powell, Jr. Blvd.",New York,New York,New York,10027,-73.94825,40.808952000000005,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,4/7/2014 4:32:01 PM,06/10/2014,11/25/2014,,,,,,,,10:00 AM-7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1005586,12th & Brandywine Urban Farm Market,,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,,,12th & Brandywine Streets,Wilmington,New Castle,Delaware,19801,-75.534462,39.742119,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,4/3/2014 3:43:31 PM,05/16/2014,10/17/2014,,,,,,,,,,,8:00 AM-11:00 AM,,,,,,,,,,,,,,,,,,,,,,,
8,1008071,14&U Farmers' Market,,https://www.facebook.com/14UFarmersMarket,https://twitter.com/14UFarmersMkt,,1400 U Street NW ,Washington,District of Columbia,District of Columbia,20009,-77.032051,38.917,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,4/5/2014 1:49:04 PM,05/03/2014,11/22/2014,,,,,,,,,,,,9:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,
9,1012710,14th & Kennedy Street Farmers Market,,https://www.facebook.com/14KennnedyFarmersMarket/,14KenFM,,"5500 Colorado Avenue, NW",Washington ,District of Columbia,District of Columbia,20011,-77.033447,38.955978,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,7/20/2016 11:16:24 AM,04/09/2016,11/19/2016,,,,,,,,,,,,9:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,
10,1019157,16th Ave Farmers Market,http://16thavefarmersmarket.com,,,,NE 16th Ave & Broadway,Portland,Multnomah,Oregon,97212,-122.64943999999998,45.534496000000004,Y,Y,Y,Y,N,,Y,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,Y,7/5/2018 5:00:17 PM,06/03/2018,10/28/2018,,,,,,,,,,,,,9:00 AM-1:30 PM,,,,,,,,,,,,,,,,,,,,,
11,1018792,170 Farm Stand,,https://www.facebook.com/CommunityFoodAction/,https://twitter.com/GoodEatsBX,https://www.youtube.com/channel/UCZnt7sSNKIBrn2rMy1RyE_w,NE Corner of 170th St. & Townsend Avenue,Bronx,Bronx,New York,10452,-73.916786,40.839886,Y,N,Y,Y,Y,,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,8/7/2017 4:11:24 PM,07/05/2017,11/22/2017,,,,,,,,,2:30 PM-6:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,
12,1016782,175th Street Greenmarket,https://www.grownyc.org/greenmarket/manhattan/175th-street,https://www.facebook.com/ManhattanGreenmarkets/,,,175th Street between Wadsworth & Broadway,New York ,New York,New York,10033,-73.93804899999999,40.846354999999996,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,12/16/2016 12:06:16,06/29/2017,11/22/2017,,,,,,,,8:00 AM-6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1003877,17th Ave Market,http://www.iatp.org/minimarkets,,,,1622 6th St NE,Minneapolis,Hennepin,Minnesota,55413,-93.259102,45.004397999999995,N,Y,Y,Y,N,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/28/2011 2:33:54 PM,06/01/2011 2:33:54 PM,09/01/2011 2:33:54 PM,,,,,,,,,3:00 pm - 7:00 pm,,,,,,,,,,,,,,,,,,,,,,,,,
14,1016784,17th Street Farmers Market,http://enrichmond.org,https://www.facebook.com/17thStreetFarmersMarket/,,,100 North 17th St.,Richmond ,Richmond City,Virginia,23219,-77.428368,37.533852,Y,N,N,N,Y,,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,12/29/2016 12:13:04,06/08/2017,,,,,,,,,,,3:00 PM-6:30 PM,,,,,,,,,,,,,,,,,,,,,,,,
